,Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Date of Report,Time of Report,Occurrence Year,Age Group
37712,37713,,,Mumbai,332,FIREARM OFFENSE,30,F,Other,Fire Accident,2,0,Ongoing,,,,Young Adult
37713,37714,,,Mumbai,252,COUNTERFEITING,36,F,Knife,Other Crime,1,0,Ongoing,,,,Adult
37714,37715,,,Bangalore,340,ROBBERY,51,F,Other,Violent Crime,12,0,Ongoing,,,,Adult
37715,37716,,,Kolkata,286,TRAFFIC VIOLATION,47,F,Explosives,Traffic Fatality,1,0,Ongoing,,,,Adult
37716,37717,,,Ludhiana,539,COUNTERFEITING,79,F,Other,Other Crime,2,1,14-06-2024 23:00,,,,Senior
37717,37718,,,Nagpur,108,DOMESTIC VIOLENCE,23,F,Knife,Violent Crime,10,1,14-05-2024 07:00,,,,Young Adult
37718,37719,,,Mumbai,473,PUBLIC INTOXICATION,46,F,None,Other Crime,2,1,14-05-2024 21:00,,,,Adult
37719,37720,,,Mumbai,375,PUBLIC INTOXICATION,47,M,Other,Other Crime,9,1,30-04-2024 19:00,,,,Adult
37720,37721,,,Ghaziabad,337,VANDALISM,38,F,Firearm,Other Crime,2,1,31-05-2024 01:00,,,,Adult
37721,37722,,,Kolkata,285,PUBLIC INTOXICATION,74,F,Explosives,Other Crime,11,1,20-05-2024 19:00,,,,Senior
37722,37723,,,Pune,270,VANDALISM,51,M,Other,Other Crime,15,0,Ongoing,,,,Adult
37723,37724,,,Jaipur,539,FIREARM OFFENSE,69,F,Knife,Fire Accident,12,1,30-06-2024 06:00,,,,Senior
37724,37725,,,Hyderabad,169,BURGLARY,67,F,Knife,Other Crime,17,1,09-06-2024 05:00,,,,Senior
37725,37726,,,Visakhapatnam,176,KIDNAPPING,15,F,Blunt Object,Other Crime,4,0,Ongoing,,,,Teen
37726,37727,,,Bangalore,528,BURGLARY,28,M,Other,Other Crime,17,0,Ongoing,,,,Young Adult
37727,37728,,,Surat,377,IDENTITY THEFT,35,F,Firearm,Violent Crime,14,1,02-05-2024 13:00,,,,Young Adult
37728,37729,,,Chennai,535,CYBERCRIME,34,F,Firearm,Other Crime,10,1,22-06-2024 21:00,,,,Young Adult
37729,37730,,,Mumbai,112,COUNTERFEITING,56,M,Knife,Other Crime,18,0,Ongoing,,,,Adult
37730,37731,,,Pune,528,COUNTERFEITING,12,F,Other,Other Crime,5,1,01-05-2024 21:00,,,,Child
37731,37732,,,Bangalore,214,FIREARM OFFENSE,15,F,Knife,Fire Accident,13,0,Ongoing,,,,Teen
37732,37733,,,Lucknow,569,KIDNAPPING,16,F,Blunt Object,Other Crime,11,0,Ongoing,,,,Teen
37733,37734,,,Indore,220,ARSON,57,M,Knife,Fire Accident,3,1,03-07-2024 02:00,,,,Adult
37734,37735,,,Bangalore,300,FIREARM OFFENSE,77,F,None,Fire Accident,8,1,19-06-2024 15:00,,,,Senior
37735,37736,,,Bangalore,341,DRUG OFFENSE,43,F,Poison,Other Crime,9,0,Ongoing,,,,Adult
37736,37737,,,Bhopal,238,CYBERCRIME,65,F,Explosives,Other Crime,4,1,14-07-2024 21:00,,,,Senior
37737,37738,,,Jaipur,443,IDENTITY THEFT,28,F,Blunt Object,Violent Crime,11,1,03-05-2024 02:00,,,,Young Adult
37738,37739,,,Varanasi,371,SHOPLIFTING,45,M,Firearm,Other Crime,7,1,04-05-2024 18:00,,,,Adult
37739,37740,,,Chennai,366,TRAFFIC VIOLATION,50,F,None,Traffic Fatality,10,0,Ongoing,,,,Adult
37740,37741,,,Lucknow,547,CYBERCRIME,13,F,Knife,Other Crime,10,1,28-05-2024 05:00,,,,Teen
37741,37742,,,Faridabad,108,ASSAULT,63,F,None,Violent Crime,17,0,Ongoing,,,,Senior
37742,37743,,,Thane,130,COUNTERFEITING,49,F,Poison,Other Crime,13,0,Ongoing,,,,Adult
37743,37744,,,Bangalore,368,EXTORTION,32,M,Poison,Other Crime,19,0,Ongoing,,,,Young Adult
37744,37745,,,Pune,518,VANDALISM,13,F,Other,Other Crime,16,1,06-05-2024 05:00,,,,Teen
37745,37746,,,Delhi,115,COUNTERFEITING,60,F,Knife,Other Crime,1,1,30-05-2024 02:00,,,,Adult
37746,37747,,,Mumbai,583,PUBLIC INTOXICATION,79,F,Firearm,Other Crime,1,0,Ongoing,,,,Senior
37747,37748,,,Indore,360,FIREARM OFFENSE,11,F,Poison,Fire Accident,2,1,21-06-2024 15:00,,,,Child
37748,37749,,,Mumbai,244,IDENTITY THEFT,36,F,Knife,Violent Crime,1,0,Ongoing,,,,Adult
37749,37750,,,Lucknow,163,FIREARM OFFENSE,68,F,Explosives,Fire Accident,11,1,26-05-2024 13:00,,,,Senior
37750,37751,,,Meerut,583,ARSON,74,F,None,Fire Accident,10,0,Ongoing,,,,Senior
37751,37752,,,Kolkata,464,VANDALISM,57,F,Firearm,Other Crime,2,1,27-06-2024 20:00,,,,Adult
37752,37753,,,Ghaziabad,295,IDENTITY THEFT,71,M,None,Violent Crime,19,1,08-05-2024 07:00,,,,Senior
37753,37754,,,Mumbai,436,DOMESTIC VIOLENCE,22,M,Poison,Violent Crime,9,1,03-06-2024 05:00,,,,Young Adult
37754,37755,,,Delhi,326,VANDALISM,52,M,Firearm,Other Crime,13,0,Ongoing,,,,Adult
37755,37756,,,Mumbai,176,ILLEGAL POSSESSION,51,F,Explosives,Other Crime,1,0,Ongoing,,,,Adult
37756,37757,,,Hyderabad,233,SEXUAL ASSAULT,51,M,Firearm,Violent Crime,17,1,19-02-2026 06:00,,,,Adult
37757,37758,,,Bangalore,506,DRUG OFFENSE,42,M,Other,Other Crime,14,1,05-05-2024 23:00,,,,Adult
37758,37759,,,Mumbai,198,ROBBERY,49,F,Other,Violent Crime,17,0,Ongoing,,,,Adult
37759,37760,,,Delhi,522,VEHICLE - STOLEN,46,F,Other,Violent Crime,3,1,14-07-2024 16:00,,,,Adult
37760,37761,,,Hyderabad,433,CYBERCRIME,41,M,Other,Other Crime,19,1,14-07-2024 12:00,,,,Adult
37761,37762,,,Visakhapatnam,391,PUBLIC INTOXICATION,10,F,Explosives,Other Crime,11,1,17-05-2024 07:00,,,,Child
37762,37763,,,Chennai,543,ARSON,26,F,Poison,Fire Accident,8,1,13-05-2024 15:00,,,,Young Adult
37763,37764,,,Ghaziabad,406,FIREARM OFFENSE,22,F,Other,Fire Accident,4,0,Ongoing,,,,Young Adult
37764,37765,,,Ludhiana,584,VANDALISM,29,F,Other,Other Crime,18,1,21-05-2024 22:00,,,,Young Adult
37765,37766,,,Hyderabad,175,ASSAULT,76,F,Knife,Violent Crime,18,0,Ongoing,,,,Senior
37766,37767,,,Delhi,506,IDENTITY THEFT,43,F,Knife,Violent Crime,1,0,Ongoing,,,,Adult
37767,37768,,,Kolkata,497,FIREARM OFFENSE,52,M,Firearm,Fire Accident,10,0,Ongoing,,,,Adult
37768,37769,,,Bangalore,200,SEXUAL ASSAULT,41,F,Blunt Object,Violent Crime,6,0,Ongoing,,,,Adult
37769,37770,,,Surat,147,BURGLARY,20,M,Knife,Other Crime,6,0,Ongoing,,,,Young Adult
37770,37771,,,Jaipur,305,COUNTERFEITING,48,M,Knife,Other Crime,14,0,Ongoing,,,,Adult
37771,37772,,,Jaipur,198,PUBLIC INTOXICATION,47,F,Blunt Object,Other Crime,14,1,06-05-2024 12:00,,,,Adult
37772,37773,,,Bangalore,182,SHOPLIFTING,78,F,None,Other Crime,4,0,Ongoing,,,,Senior
37773,37774,,,Nagpur,324,ARSON,42,M,Explosives,Fire Accident,10,0,Ongoing,,,,Adult
37774,37775,,,Nagpur,534,FIREARM OFFENSE,78,F,None,Fire Accident,17,1,16-05-2024 00:00,,,,Senior
37775,37776,,,Nagpur,231,TRAFFIC VIOLATION,44,F,Other,Traffic Fatality,8,0,Ongoing,,,,Adult
37776,37777,,,Delhi,385,SEXUAL ASSAULT,58,F,Knife,Violent Crime,12,0,Ongoing,,,,Adult
37777,37778,,,Bangalore,161,ILLEGAL POSSESSION,44,F,Other,Other Crime,6,1,13-06-2024 10:00,,,,Adult
37778,37779,,,Thane,229,VEHICLE - STOLEN,39,F,None,Violent Crime,13,1,02-05-2024 14:00,,,,Adult
37779,37780,,,Ahmedabad,256,FIREARM OFFENSE,58,F,None,Fire Accident,11,0,Ongoing,,,,Adult
37780,37781,,,Hyderabad,259,CYBERCRIME,35,M,Explosives,Other Crime,5,0,Ongoing,,,,Young Adult
37781,37782,,,Indore,195,DOMESTIC VIOLENCE,10,F,Blunt Object,Violent Crime,3,0,Ongoing,,,,Child
37782,37783,,,Chennai,137,SEXUAL ASSAULT,35,F,Explosives,Violent Crime,14,0,Ongoing,,,,Young Adult
37783,37784,,,Pune,321,VEHICLE - STOLEN,34,F,None,Violent Crime,11,0,Ongoing,,,,Young Adult
37784,37785,,,Delhi,324,KIDNAPPING,76,F,Blunt Object,Other Crime,15,0,Ongoing,,,,Senior
37785,37786,,,Bangalore,568,ILLEGAL POSSESSION,47,F,Explosives,Other Crime,3,0,Ongoing,,,,Adult
37786,37787,,,Kolkata,153,ARSON,44,M,Other,Fire Accident,3,1,11-05-2024 11:00,,,,Adult
37787,37788,,,Surat,257,ARSON,25,F,Firearm,Fire Accident,6,0,Ongoing,,,,Young Adult
37788,37789,,,Delhi,467,DRUG OFFENSE,69,M,Other,Other Crime,19,0,Ongoing,,,,Senior
37789,37790,,,Nagpur,509,BURGLARY,75,F,Knife,Other Crime,16,0,Ongoing,,,,Senior
37790,37791,,,Faridabad,552,CYBERCRIME,76,F,Explosives,Other Crime,17,1,11-07-2024 02:00,,,,Senior
37791,37792,,,Delhi,158,TRAFFIC VIOLATION,20,F,Knife,Traffic Fatality,18,0,Ongoing,,,,Young Adult
37792,37793,,,Ghaziabad,404,DRUG OFFENSE,37,F,Explosives,Other Crime,17,0,Ongoing,,,,Adult
37793,37794,,,Lucknow,382,COUNTERFEITING,49,F,Other,Other Crime,18,1,22-07-2024 07:00,,,,Adult
37794,37795,,,Ahmedabad,356,DOMESTIC VIOLENCE,26,M,Firearm,Violent Crime,18,0,Ongoing,,,,Young Adult
37795,37796,,,Agra,535,ARSON,69,M,Firearm,Fire Accident,6,0,Ongoing,,,,Senior
37796,37797,,,Kanpur,322,VEHICLE - STOLEN,79,F,None,Violent Crime,8,0,Ongoing,,,,Senior
37797,37798,,,Delhi,310,COUNTERFEITING,31,F,Firearm,Other Crime,12,0,Ongoing,,,,Young Adult
37798,37799,,,Lucknow,356,KIDNAPPING,27,M,Explosives,Other Crime,19,0,Ongoing,,,,Young Adult
37799,37800,,,Mumbai,582,VANDALISM,26,F,Poison,Other Crime,2,0,Ongoing,,,,Young Adult
37800,37801,,,Mumbai,370,ILLEGAL POSSESSION,15,F,Blunt Object,Other Crime,19,1,02-05-2024 22:00,,,,Teen
37801,37802,,,Agra,413,BURGLARY,69,F,Firearm,Other Crime,6,0,Ongoing,,,,Senior
37802,37803,,,Delhi,384,ILLEGAL POSSESSION,67,M,None,Other Crime,2,0,Ongoing,,,,Senior
37803,37804,,,Vasai,433,ASSAULT,62,M,Firearm,Violent Crime,14,1,05-07-2024 18:00,,,,Senior
37804,37805,,,Hyderabad,415,CYBERCRIME,25,F,Firearm,Other Crime,19,1,12-06-2024 13:00,,,,Young Adult
37805,37806,,,Mumbai,270,ROBBERY,47,F,None,Violent Crime,6,0,Ongoing,,,,Adult
37806,37807,,,Mumbai,371,HOMICIDE,23,F,Knife,Other Crime,3,1,23-11-2025 14:00,,,,Young Adult
37807,37808,,,Agra,224,KIDNAPPING,59,F,None,Other Crime,17,1,10-07-2024 22:00,,,,Adult
37808,37809,,,Ahmedabad,328,CYBERCRIME,65,F,Poison,Other Crime,16,0,Ongoing,,,,Senior
37809,37810,,,Visakhapatnam,315,ILLEGAL POSSESSION,20,M,Explosives,Other Crime,10,1,28-05-2024 11:00,,,,Young Adult
37810,37811,,,Delhi,400,PUBLIC INTOXICATION,71,F,Blunt Object,Other Crime,1,0,Ongoing,,,,Senior
37811,37812,,,Delhi,329,EXTORTION,48,F,Blunt Object,Other Crime,2,0,Ongoing,,,,Adult
37812,37813,,,Delhi,105,PUBLIC INTOXICATION,49,F,Knife,Other Crime,9,1,09-05-2024 20:00,,,,Adult
37813,37814,,,Bhopal,278,TRAFFIC VIOLATION,71,M,Knife,Traffic Fatality,13,1,07-05-2024 22:00,,,,Senior
37814,37815,,,Ahmedabad,148,BURGLARY,51,F,Knife,Other Crime,17,0,Ongoing,,,,Adult
37815,37816,,,Hyderabad,230,DOMESTIC VIOLENCE,45,F,None,Violent Crime,17,1,21-06-2024 06:00,,,,Adult
37816,37817,,,Ludhiana,144,VEHICLE - STOLEN,71,F,Poison,Violent Crime,7,1,11-05-2024 04:00,,,,Senior
37817,37818,,,Visakhapatnam,488,ROBBERY,38,F,Firearm,Violent Crime,9,0,Ongoing,,,,Adult
37818,37819,,,Delhi,384,BURGLARY,31,M,Blunt Object,Other Crime,17,1,31-05-2024 17:00,,,,Young Adult
37819,37820,,,Bangalore,109,HOMICIDE,29,M,Knife,Other Crime,1,0,Ongoing,,,,Young Adult
37820,37821,,,Delhi,259,EXTORTION,63,M,Poison,Other Crime,18,0,Ongoing,,,,Senior
37821,37822,,,Chennai,118,VEHICLE - STOLEN,61,F,Other,Violent Crime,9,1,08-05-2024 23:00,,,,Senior
37822,37823,,,Jaipur,171,TRAFFIC VIOLATION,51,F,Explosives,Traffic Fatality,4,1,29-04-2024 19:00,,,,Adult
37823,37824,,,Chennai,361,BURGLARY,58,F,Explosives,Other Crime,5,1,02-08-2024 16:00,,,,Adult
37824,37825,,,Mumbai,443,PUBLIC INTOXICATION,77,F,Knife,Other Crime,8,1,28-04-2024 01:00,,,,Senior
37825,37826,,,Kolkata,196,TRAFFIC VIOLATION,38,F,Blunt Object,Traffic Fatality,5,1,13-05-2024 13:00,,,,Adult
37826,37827,,,Nagpur,525,SEXUAL ASSAULT,29,F,Knife,Violent Crime,3,0,Ongoing,,,,Young Adult
37827,37828,,,Hyderabad,435,SEXUAL ASSAULT,46,F,Explosives,Violent Crime,13,0,Ongoing,,,,Adult
37828,37829,,,Jaipur,597,VEHICLE - STOLEN,63,F,Other,Violent Crime,14,0,Ongoing,,,,Senior
37829,37830,,,Kolkata,479,COUNTERFEITING,18,M,Knife,Other Crime,18,1,14-07-2024 04:00,,,,Teen
37830,37831,,,Kolkata,528,BURGLARY,43,F,Firearm,Other Crime,18,0,Ongoing,,,,Adult
37831,37832,,,Bhopal,432,DRUG OFFENSE,58,F,Explosives,Other Crime,10,1,20-07-2024 13:00,,,,Adult
37832,37833,,,Patna,439,ILLEGAL POSSESSION,77,F,Poison,Other Crime,1,0,Ongoing,,,,Senior
37833,37834,,,Bangalore,395,TRAFFIC VIOLATION,28,M,Blunt Object,Traffic Fatality,14,0,Ongoing,,,,Young Adult
37834,37835,,,Delhi,493,DOMESTIC VIOLENCE,55,M,Knife,Violent Crime,15,0,Ongoing,,,,Adult
37835,37836,,,Bhopal,181,HOMICIDE,41,M,None,Other Crime,6,1,22-03-2025 00:00,,,,Adult
37836,37837,,,Hyderabad,117,ARSON,14,F,Explosives,Fire Accident,1,1,14-06-2024 19:00,,,,Teen
37837,37838,,,Hyderabad,112,ARSON,25,F,Blunt Object,Fire Accident,14,0,Ongoing,,,,Young Adult
37838,37839,,,Meerut,495,DRUG OFFENSE,40,M,Poison,Other Crime,12,1,15-05-2024 03:00,,,,Adult
37839,37840,,,Surat,586,CYBERCRIME,21,F,Other,Other Crime,18,0,Ongoing,,,,Young Adult
37840,37841,,,Chennai,300,HOMICIDE,13,F,Explosives,Other Crime,6,1,02-03-2026 23:00,,,,Teen
37841,37842,,,Pune,179,BURGLARY,17,M,Knife,Other Crime,12,1,23-09-2024 12:00,,,,Teen
37842,37843,,,Ahmedabad,369,ARSON,41,M,Other,Fire Accident,12,1,04-07-2024 13:00,,,,Adult
37843,37844,,,Nashik,199,EXTORTION,39,M,Knife,Other Crime,14,1,20-06-2024 21:00,,,,Adult
37844,37845,,,Ahmedabad,550,BURGLARY,57,F,Knife,Other Crime,15,1,08-06-2024 17:00,,,,Adult
37845,37846,,,Kanpur,106,VEHICLE - STOLEN,20,M,None,Violent Crime,12,1,25-05-2024 13:00,,,,Young Adult
37846,37847,,,Bangalore,216,SHOPLIFTING,67,F,Firearm,Other Crime,3,0,Ongoing,,,,Senior
37847,37848,,,Delhi,176,DOMESTIC VIOLENCE,42,M,Poison,Violent Crime,4,1,30-05-2024 19:00,,,,Adult
37848,37849,,,Delhi,338,HOMICIDE,34,F,Knife,Other Crime,15,0,Ongoing,,,,Young Adult
37849,37850,,,Mumbai,506,HOMICIDE,26,M,Other,Other Crime,19,1,13-04-2025 13:00,,,,Young Adult
37850,37851,,,Delhi,380,SHOPLIFTING,17,F,Firearm,Other Crime,2,0,Ongoing,,,,Teen
37851,37852,,,Delhi,213,ARSON,17,M,None,Fire Accident,7,1,15-06-2024 00:00,,,,Teen
37852,37853,,,Delhi,528,DOMESTIC VIOLENCE,68,F,Poison,Violent Crime,9,0,Ongoing,,,,Senior
37853,37854,,,Chennai,114,VEHICLE - STOLEN,52,F,Blunt Object,Violent Crime,13,1,23-05-2024 00:00,,,,Adult
37854,37855,,,Hyderabad,445,EXTORTION,38,M,Other,Other Crime,9,1,24-07-2024 09:00,,,,Adult
37855,37856,,,Bangalore,438,SHOPLIFTING,20,F,Blunt Object,Other Crime,2,0,Ongoing,,,,Young Adult
37856,37857,,,Mumbai,207,FRAUD,56,F,Explosives,Other Crime,12,0,Ongoing,,,,Adult
37857,37858,,,Delhi,335,ASSAULT,58,F,Other,Violent Crime,18,1,06-07-2024 06:00,,,,Adult
37858,37859,,,Visakhapatnam,568,TRAFFIC VIOLATION,27,F,Explosives,Traffic Fatality,17,0,Ongoing,,,,Young Adult
37859,37860,,,Chennai,355,ILLEGAL POSSESSION,77,M,Blunt Object,Other Crime,16,1,24-07-2024 00:00,,,,Senior
37860,37861,,,Mumbai,150,FRAUD,42,F,Other,Other Crime,18,0,Ongoing,,,,Adult
37861,37862,,,Bangalore,411,KIDNAPPING,42,M,Blunt Object,Other Crime,6,0,Ongoing,,,,Adult
37862,37863,,,Meerut,419,IDENTITY THEFT,66,F,Firearm,Violent Crime,8,0,Ongoing,,,,Senior
37863,37864,,,Ahmedabad,123,ROBBERY,58,M,Poison,Violent Crime,12,0,Ongoing,,,,Adult
37864,37865,,,Mumbai,181,ASSAULT,77,M,Blunt Object,Violent Crime,7,0,Ongoing,,,,Senior
37865,37866,,,Hyderabad,567,VANDALISM,10,F,Poison,Other Crime,11,1,13-06-2024 08:00,,,,Child
37866,37867,,,Kanpur,583,FRAUD,72,F,Firearm,Other Crime,11,1,24-07-2024 04:00,,,,Senior
37867,37868,,,Kanpur,355,KIDNAPPING,17,M,Knife,Other Crime,18,1,08-06-2024 15:00,,,,Teen
37868,37869,,,Delhi,327,DRUG OFFENSE,34,F,Poison,Other Crime,11,0,Ongoing,,,,Young Adult
37869,37870,,,Chennai,410,SEXUAL ASSAULT,62,F,Other,Violent Crime,16,1,15-06-2025 01:00,,,,Senior
37870,37871,,,Delhi,271,ILLEGAL POSSESSION,39,F,Firearm,Other Crime,14,1,10-07-2024 03:00,,,,Adult
37871,37872,,,Mumbai,293,HOMICIDE,24,F,None,Other Crime,6,1,31-05-2025 03:00,,,,Young Adult
37872,37873,,,Delhi,482,BURGLARY,53,M,Firearm,Other Crime,12,1,21-07-2024 00:00,,,,Adult
37873,37874,,,Jaipur,125,ARSON,22,M,Other,Fire Accident,7,0,Ongoing,,,,Young Adult
37874,37875,,,Mumbai,558,CYBERCRIME,23,F,None,Other Crime,11,0,Ongoing,,,,Young Adult
37875,37876,,,Mumbai,471,ASSAULT,54,M,Knife,Violent Crime,4,0,Ongoing,,,,Adult
37876,37877,,,Hyderabad,188,FIREARM OFFENSE,26,F,Firearm,Fire Accident,17,1,28-05-2024 12:00,,,,Young Adult
37877,37878,,,Jaipur,143,FIREARM OFFENSE,50,F,Firearm,Fire Accident,1,0,Ongoing,,,,Adult
37878,37879,,,Indore,525,TRAFFIC VIOLATION,15,F,Blunt Object,Traffic Fatality,1,0,Ongoing,,,,Teen
37879,37880,,,Srinagar,309,TRAFFIC VIOLATION,19,M,Poison,Traffic Fatality,4,0,Ongoing,,,,Teen
37880,37881,,,Lucknow,470,ILLEGAL POSSESSION,47,M,Other,Other Crime,7,0,Ongoing,,,,Adult
37881,37882,,,Thane,337,SHOPLIFTING,51,F,Poison,Other Crime,7,1,10-06-2024 17:00,,,,Adult
37882,37883,,,Ahmedabad,406,FIREARM OFFENSE,23,F,Blunt Object,Fire Accident,10,1,23-05-2024 13:00,,,,Young Adult
37883,37884,,,Ahmedabad,431,DRUG OFFENSE,74,M,Blunt Object,Other Crime,1,0,Ongoing,,,,Senior
37884,37885,,,Chennai,483,HOMICIDE,57,F,Blunt Object,Other Crime,2,1,23-04-2026 09:00,,,,Adult
37885,37886,,,Mumbai,413,BURGLARY,19,F,Firearm,Other Crime,18,0,Ongoing,,,,Teen
37886,37887,,,Delhi,169,HOMICIDE,77,F,None,Other Crime,6,0,Ongoing,,,,Senior
37887,37888,,,Surat,260,VEHICLE - STOLEN,67,F,Poison,Violent Crime,3,0,Ongoing,,,,Senior
37888,37889,,,Bhopal,206,HOMICIDE,14,F,None,Other Crime,15,1,16-11-2024 16:00,,,,Teen
37889,37890,,,Pune,436,BURGLARY,35,F,None,Other Crime,6,0,Ongoing,,,,Young Adult
37890,37891,,,Lucknow,248,TRAFFIC VIOLATION,13,F,Knife,Traffic Fatality,7,0,Ongoing,,,,Teen
37891,37892,,,Hyderabad,293,DRUG OFFENSE,29,M,Other,Other Crime,3,1,13-05-2024 09:00,,,,Young Adult
37892,37893,,,Jaipur,253,COUNTERFEITING,20,F,None,Other Crime,5,0,Ongoing,,,,Young Adult
37893,37894,,,Lucknow,199,PUBLIC INTOXICATION,36,F,Other,Other Crime,11,0,Ongoing,,,,Adult
37894,37895,,,Patna,207,ROBBERY,16,F,Other,Violent Crime,14,0,Ongoing,,,,Teen
37895,37896,,,Delhi,299,PUBLIC INTOXICATION,62,F,Knife,Other Crime,5,0,Ongoing,,,,Senior
37896,37897,,,Kanpur,100,CYBERCRIME,47,F,Other,Other Crime,8,1,15-05-2024 14:00,,,,Adult
37897,37898,,,Delhi,265,ROBBERY,65,M,Other,Violent Crime,7,0,Ongoing,,,,Senior
37898,37899,,,Srinagar,173,TRAFFIC VIOLATION,39,M,Blunt Object,Traffic Fatality,19,0,Ongoing,,,,Adult
37899,37900,,,Kolkata,586,ILLEGAL POSSESSION,75,F,Knife,Other Crime,6,1,12-06-2024 21:00,,,,Senior
37900,37901,,,Indore,540,SEXUAL ASSAULT,30,F,Other,Violent Crime,18,0,Ongoing,,,,Young Adult
37901,37902,,,Bangalore,377,CYBERCRIME,28,M,Explosives,Other Crime,9,0,Ongoing,,,,Young Adult
37902,37903,,,Hyderabad,345,FRAUD,62,M,Firearm,Other Crime,9,1,28-05-2024 04:00,,,,Senior
37903,37904,,,Patna,137,DOMESTIC VIOLENCE,69,F,Explosives,Violent Crime,7,0,Ongoing,,,,Senior
37904,37905,,,Ludhiana,511,DOMESTIC VIOLENCE,35,F,Other,Violent Crime,17,1,10-07-2024 00:00,,,,Young Adult
37905,37906,,,Patna,297,FIREARM OFFENSE,78,M,Firearm,Fire Accident,19,1,07-05-2024 15:00,,,,Senior
37906,37907,,,Jaipur,539,FIREARM OFFENSE,25,F,Firearm,Fire Accident,7,1,07-05-2024 06:00,,,,Young Adult
37907,37908,,,Agra,518,COUNTERFEITING,48,F,Blunt Object,Other Crime,8,1,28-07-2024 16:00,,,,Adult
37908,37909,,,Mumbai,416,DRUG OFFENSE,50,F,Poison,Other Crime,16,0,Ongoing,,,,Adult
37909,37910,,,Ghaziabad,348,IDENTITY THEFT,22,F,Knife,Violent Crime,14,1,17-05-2024 00:00,,,,Young Adult
37910,37911,,,Delhi,267,HOMICIDE,79,F,Firearm,Other Crime,3,1,26-01-2026 23:00,,,,Senior
37911,37912,,,Ahmedabad,255,BURGLARY,41,F,Explosives,Other Crime,16,1,29-09-2024 22:00,,,,Adult
37912,37913,,,Kolkata,353,ASSAULT,42,F,Firearm,Violent Crime,5,1,14-07-2024 10:00,,,,Adult
37913,37914,,,Ahmedabad,246,ARSON,15,F,Firearm,Fire Accident,13,1,13-06-2024 22:00,,,,Teen
37914,37915,,,Bangalore,521,EXTORTION,52,F,Other,Other Crime,15,1,17-07-2024 23:00,,,,Adult
37915,37916,,,Jaipur,438,CYBERCRIME,39,F,None,Other Crime,17,1,07-05-2024 23:00,,,,Adult
37916,37917,,,Kolkata,178,HOMICIDE,60,F,Knife,Other Crime,15,1,23-04-2026 15:00,,,,Adult
37917,37918,,,Kolkata,427,IDENTITY THEFT,19,M,Knife,Violent Crime,12,0,Ongoing,,,,Teen
37918,37919,,,Surat,486,TRAFFIC VIOLATION,74,M,None,Traffic Fatality,7,1,22-05-2024 19:00,,,,Senior
37919,37920,,,Mumbai,217,ROBBERY,20,F,Knife,Violent Crime,17,0,Ongoing,,,,Young Adult
37920,37921,,,Ahmedabad,320,BURGLARY,37,F,Poison,Other Crime,1,1,14-06-2024 21:00,,,,Adult
37921,37922,,,Mumbai,549,ROBBERY,58,M,None,Violent Crime,18,0,Ongoing,,,,Adult
37922,37923,,,Hyderabad,588,DOMESTIC VIOLENCE,53,F,Knife,Violent Crime,12,0,Ongoing,,,,Adult
37923,37924,,,Pune,404,VANDALISM,10,F,Firearm,Other Crime,5,0,Ongoing,,,,Child
37924,37925,,,Delhi,179,DOMESTIC VIOLENCE,26,M,Blunt Object,Violent Crime,13,0,Ongoing,,,,Young Adult
37925,37926,,,Rajkot,484,PUBLIC INTOXICATION,23,F,Explosives,Other Crime,14,0,Ongoing,,,,Young Adult
37926,37927,,,Bangalore,281,ROBBERY,28,F,Explosives,Violent Crime,19,1,08-09-2024 06:00,,,,Young Adult
37927,37928,,,Nagpur,418,PUBLIC INTOXICATION,79,F,None,Other Crime,3,0,Ongoing,,,,Senior
37928,37929,,,Bangalore,417,ROBBERY,53,M,Firearm,Violent Crime,3,0,Ongoing,,,,Adult
37929,37930,,,Kolkata,385,CYBERCRIME,24,M,Explosives,Other Crime,12,0,Ongoing,,,,Young Adult
37930,37931,,,Nagpur,417,FIREARM OFFENSE,60,M,Poison,Fire Accident,12,0,Ongoing,,,,Adult
37931,37932,,,Faridabad,497,ILLEGAL POSSESSION,67,F,Knife,Other Crime,16,1,09-06-2024 13:00,,,,Senior
37932,37933,,,Kolkata,521,ILLEGAL POSSESSION,48,M,Other,Other Crime,14,0,Ongoing,,,,Adult
37933,37934,,,Delhi,227,FIREARM OFFENSE,67,F,None,Fire Accident,11,0,Ongoing,,,,Senior
37934,37935,,,Bangalore,256,EXTORTION,34,F,Other,Other Crime,4,1,04-06-2024 23:00,,,,Young Adult
37935,37936,,,Hyderabad,487,ASSAULT,27,F,Firearm,Violent Crime,14,1,18-06-2024 13:00,,,,Young Adult
37936,37937,,,Mumbai,136,EXTORTION,13,F,Other,Other Crime,12,1,20-07-2024 08:00,,,,Teen
37937,37938,,,Lucknow,583,PUBLIC INTOXICATION,13,F,Explosives,Other Crime,9,1,14-05-2024 02:00,,,,Teen
37938,37939,,,Patna,477,BURGLARY,45,F,Poison,Other Crime,5,1,28-07-2024 10:00,,,,Adult
37939,37940,,,Indore,417,HOMICIDE,57,F,Blunt Object,Other Crime,15,0,Ongoing,,,,Adult
37940,37941,,,Delhi,407,PUBLIC INTOXICATION,47,F,Blunt Object,Other Crime,7,0,Ongoing,,,,Adult
